of_list;of_round_list;rr_round_list;of_val_list;of_round_val_list;RMSE_val_list;RMSE_round_val_list;Var10
365.8183669;6112.820099;2;263.2487022;6847.807575;22.94553125;117.0282665;5239
362.3422069;5117.386334;9;258.6009973;5371.659925;22.74207542;103.6499872;5239
357.4984871;3215.898525;14;259.5292892;3240.260373;22.78285712;80.50168164;5239
352.0915242;4795.425222;19;259.9252996;4773.609314;22.80023244;97.70986966;5239
347.2067704;2165.402879;22;259.3716745;2103.448652;22.77593794;64.860599;5239
340.7688973;2003.259178;25;254.0054492;1869.362232;22.53909711;61.1451099;5239
336.7492659;2059.543394;26;247.7979699;1926.934683;22.26198418;62.07954063;5239
334.2365753;2059.543394;26;247.5297443;1926.934683;22.24993233;62.07954063;5239
333.683213;2087.803131;27;247.7794003;1958.019908;22.26115003;62.57826952;5239
333.031204;2113.104002;28;248.4123017;1989.590402;22.28956265;63.08074829;5239
331.755382;2113.339717;29;248.0858772;2021.876187;22.27491312;63.59050537;5239
329.9084455;2113.339717;29;246.818732;2021.876187;22.21795364;63.59050537;5239
329.5013392;558.8020733;31;246.8911828;398.4246298;22.22121431;28.22851855;5239
328.3822604;558.8020733;31;244.4574515;398.4246298;22.11142019;28.22851855;5239
327.780386;558.8020733;31;245.2437597;398.4246298;22.14695282;28.22851855;5239
326.9800155;558.8020733;31;245.9082957;398.4246298;22.17693828;28.22851855;5239
326.5096663;3919.252928;32;245.9976804;4068.309837;22.18096844;90.20321321;5239
323.9749492;3919.252928;32;248.5365985;4068.309837;22.29513842;90.20321321;5239
323.6262135;3919.252928;32;248.2423175;4068.309837;22.28193517;90.20321321;5239
323.4395017;3919.252928;32;248.0271604;4068.309837;22.27227695;90.20321321;5239
323.0018703;3919.252928;32;247.9657888;4068.309837;22.26952127;90.20321321;5239
322.8047122;3919.252928;32;247.9539702;4068.309837;22.26899056;90.20321321;5239
322.6285427;4739.107012;33;248.2600501;4815.711438;22.28273098;98.1398129;5239
321.7546535;4739.107012;33;246.6815946;4815.711438;22.21178042;98.1398129;5239
321.5614239;4739.107012;33;246.1981997;4815.711438;22.19000674;98.1398129;5239
321.3494871;4182.817152;34;246.4131779;4239.977756;22.1996927;92.08667391;5239
320.787009;3838.104381;35;244.7917559;3920.389506;22.12653411;88.5481734;5239
320.108924;3838.104381;35;241.8687605;3920.389506;21.99403376;88.5481734;5239
319.9676392;3838.104381;35;241.3957329;3920.389506;21.97251615;88.5481734;5239
319.8247104;3040.820756;36;241.1741973;3127.858842;21.96243144;79.09309505;5239
318.1289156;4179.489108;37;234.1567392;4234.289433;21.64055171;92.02488177;5239
317.9750852;3798.998957;38;234.2578513;3874.315736;21.64522355;88.02631124;5239
317.349828;4692.811922;39;230.9206162;4738.155547;21.49049168;97.34634607;5239
313.8756974;4692.811922;39;233.717554;4738.155547;21.62024764;97.34634607;5239
313.7849706;4692.811922;39;233.5463046;4738.155547;21.6123254;97.34634607;5239
313.7050447;4692.811922;39;232.9617897;4738.155547;21.58526301;97.34634607;5239
312.6399434;4692.811922;39;233.0736185;4738.155547;21.59044318;97.34634607;5239
312.207647;4692.811922;39;232.6765772;4738.155547;21.57204567;97.34634607;5239
312.0385025;4692.811922;39;232.0267858;4738.155547;21.54190269;97.34634607;5239
311.9630664;4692.811922;39;231.7546759;4738.155547;21.52926733;97.34634607;5239
311.8866572;4692.811922;39;231.3718953;4738.155547;21.51148044;97.34634607;5239
311.7804588;4759.267453;38;230.8699293;4825.487217;21.48813297;98.23937314;5239
311.7133926;5050.787986;37;230.6164059;5112.432287;21.47633143;101.1180724;5239
311.6083575;5050.787986;37;230.0999727;5112.432287;21.45227133;101.1180724;5239
311.4821866;5050.787986;37;229.7135715;5112.432287;21.43425163;101.1180724;5239
311.4380721;5050.787986;37;229.5654922;5112.432287;21.42734198;101.1180724;5239
311.39223;5050.787986;37;229.4050475;5112.432287;21.41985282;101.1180724;5239
311.3558282;5307.194958;38;229.1825133;5318.439276;21.40946115;103.135244;5239
309.758993;6214.339597;38;230.4512719;6282.81141;21.46864094;112.0964889;5239
309.2829595;6214.339597;38;231.6117864;6282.81141;21.52262932;112.0964889;5239
308.9467736;6214.339597;38;230.862131;6282.81141;21.48777006;112.0964889;5239
308.8820633;6214.339597;38;230.7777792;6282.81141;21.48384412;112.0964889;5239
308.6175224;6214.339597;38;229.6998997;6282.81141;21.43361377;112.0964889;5239
308.3936438;6214.339597;38;228.79011;6282.81141;21.3911248;112.0964889;5239
308.2795509;6214.339597;38;228.4272718;6282.81141;21.37415598;112.0964889;5239
308.1760829;6214.339597;38;228.2084024;6282.81141;21.36391361;112.0964889;5239
307.9277137;6214.339597;38;226.962002;6282.81141;21.30549234;112.0964889;5239
307.9124601;6214.339597;38;226.950588;6282.81141;21.30495661;112.0964889;5239
307.7820042;6214.339597;38;226.4890562;6282.81141;21.28328246;112.0964889;5239
307.4412795;6214.339597;38;225.0529252;6282.81141;21.21569821;112.0964889;5239
307.322746;6214.339597;38;224.5030574;6282.81141;21.18976439;112.0964889;5239
307.2704262;6214.339597;38;224.4113152;6282.81141;21.18543439;112.0964889;5239
307.2148773;1639.024333;37;224.288847;1526.692123;21.17965283;55.25743611;5239
306.2846374;1639.024333;37;221.6063458;1526.692123;21.05261722;55.25743611;5239
306.1824406;1639.024333;37;221.3479863;1526.692123;21.04034155;55.25743611;5239
306.159769;1639.024333;37;221.301795;1526.692123;21.03814607;55.25743611;5239
306.0573892;1639.024333;37;221.3471212;1526.692123;21.04030044;55.25743611;5239
306.0040488;1605.712314;38;221.287213;1489.688776;21.03745294;54.58367477;5239
305.9113212;1605.712314;38;221.2252566;1489.688776;21.03450768;54.58367477;5239
305.8344854;1605.712314;38;221.1522061;1489.688776;21.0310345;54.58367477;5239
305.7498315;4017.746006;49;220.9758423;3931.031456;21.02264694;88.66827455;5239
313.0333264;1605.712314;38;225.2409759;1489.688776;21.22456011;54.58367477;5239
306.4275792;7158.339041;39;222.045787;7052.293786;21.07348035;118.7627365;5239
306.235531;4442.543963;170;222.2476527;4562.984232;21.08305731;95.52993491;5239
330.9813276;7158.339041;39;234.6639243;7052.293786;21.66397582;118.7627365;5239
309.0693601;7158.339041;39;225.6136641;7052.293786;21.24211214;118.7627365;5239
308.9133555;7158.339041;39;225.4274453;7052.293786;21.23334384;118.7627365;5239
308.8663995;7158.339041;39;225.4212842;7052.293786;21.23305368;118.7627365;5239
308.733839;7158.339041;39;225.6311085;7052.293786;21.24293334;118.7627365;5239
308.6151327;7158.339041;39;225.6541836;7052.293786;21.24401956;118.7627365;5239
308.5627625;7158.339041;39;225.5621693;7052.293786;21.23968782;118.7627365;5239
308.5199158;7158.339041;39;225.5758726;7052.293786;21.24033298;118.7627365;5239
308.4587613;11569.3885;62;225.6551586;11461.67945;21.24406546;151.4046198;5239
320.466637;6007.386165;40;230.0299035;5905.243689;21.4490048;108.6760663;5239
308.319523;5986.343876;41;226.0825438;5883.745151;21.26417381;108.4780637;5239
308.1962779;5986.343876;41;225.2743332;5883.745151;21.22613169;108.4780637;5239
308.1495773;7855.034087;49;225.148628;7765.000613;21.22020867;124.6194256;5239
311.5491926;5986.343876;41;226.2091039;5883.745151;21.27012477;108.4780637;5239
308.1046945;5601.798309;44;225.2011294;5500.233472;21.22268265;104.8831109;5239
308.9065565;5986.343876;41;225.0728227;5883.745151;21.21663605;108.4780637;5239
307.9766208;5986.343876;41;224.8326335;5883.745151;21.20531224;108.4780637;5239
307.9459723;10193.71404;42;224.8048227;10233.84715;21.2040007;143.0653498;5239
308.5089498;10193.71404;42;226.979447;10233.84715;21.30631113;143.0653498;5239
308.446045;10193.71404;42;226.2135952;10233.84715;21.27033593;143.0653498;5239
308.3946386;5986.343876;41;226.0346579;5883.745151;21.26192173;108.4780637;5239
307.6344301;5986.343876;41;222.0414551;5883.745151;21.07327478;108.4780637;5239
307.5491348;6117.981414;42;221.9412673;6022.220833;21.06851999;109.7471716;5239
307.4898005;6127.694107;43;221.9176365;6034.222236;21.06739835;109.8564721;5239
307.5917604;6117.981414;42;222.0582919;6022.220833;21.07407374;109.7471716;5239
307.2741482;6117.981414;42;222.2372028;6022.220833;21.08256165;109.7471716;5239
307.204205;6117.981414;42;222.2682264;6022.220833;21.08403313;109.7471716;5239
307.1734936;6117.981414;42;222.3274357;6022.220833;21.08684119;109.7471716;5239
307.0862943;6117.981414;42;222.2993896;6022.220833;21.08551112;109.7471716;5239
307.050524;10380.67797;43;222.3490488;10412.02771;21.08786612;144.3054241;5239
307.742828;10303.67067;44;224.8824765;10319.12468;21.2076626;143.6601871;5239
307.3317387;10303.67067;44;224.6408167;10319.12468;21.19626461;143.6601871;5239
307.2966115;10303.67067;44;224.4281395;10319.12468;21.18622852;143.6601871;5239
307.2331097;10303.67067;44;224.0870151;10319.12468;21.17012117;143.6601871;5239
307.1378253;10303.67067;44;223.8414648;10319.12468;21.15851908;143.6601871;5239
307.0639154;10303.67067;44;223.6343672;10319.12468;21.14872891;143.6601871;5239
307.0390907;10303.67067;44;223.4956051;10319.12468;21.14216664;143.6601871;5239
306.9606373;10303.67067;44;223.2502029;10319.12468;21.13055621;143.6601871;5239
306.8887874;10303.67067;44;222.9404865;10319.12468;21.11589385;143.6601871;5239
306.8217853;10303.67067;44;222.5023972;10319.12468;21.09513675;143.6601871;5239
306.7759439;10303.67067;44;222.3468831;10319.12468;21.08776342;143.6601871;5239
306.6973481;10303.67067;44;222.1312507;10319.12468;21.07753547;143.6601871;5239
306.553643;10303.67067;44;221.6008832;10319.12468;21.05235774;143.6601871;5239
306.5285961;10303.67067;44;221.566143;10319.12468;21.0507075;143.6601871;5239
306.4873879;10303.67067;44;221.5114602;10319.12468;21.04810966;143.6601871;5239
306.4618436;10303.67067;44;221.4063653;10319.12468;21.04311599;143.6601871;5239
306.3957028;10303.67067;44;220.9608142;10319.12468;21.02193208;143.6601871;5239
306.3000233;10303.67067;44;220.5957013;10319.12468;21.00455671;143.6601871;5239
305.5956357;10303.67067;44;220.9153532;10319.12468;21.01976942;143.6601871;5239
305.5572512;10303.67067;44;220.6733665;10319.12468;21.00825392;143.6601871;5239
305.524588;10303.67067;44;220.5602605;10319.12468;21.00286935;143.6601871;5239
305.4668559;10303.67067;44;220.3418541;10319.12468;20.99246789;143.6601871;5239
305.4510199;10303.67067;44;220.2636352;10319.12468;20.98874151;143.6601871;5239
305.4440769;10303.67067;44;220.2531666;10319.12468;20.98824274;143.6601871;5239
305.3871928;10303.67067;44;220.2280948;10319.12468;20.98704814;143.6601871;5239
305.3705103;5539.770301;44;220.1526797;5455.455933;20.98345442;104.4553104;5239
303.4510666;5539.770301;44;216.5460873;5455.455933;20.81086674;104.4553104;5239
303.2787741;5539.770301;44;216.3818295;5455.455933;20.80297236;104.4553104;5239
303.2181262;5539.770301;44;216.5098773;5455.455933;20.80912671;104.4553104;5239
303.1483326;5539.770301;44;216.6730888;5455.455933;20.8169685;104.4553104;5239
303.1343795;5539.770301;44;216.6605655;5455.455933;20.8163669;104.4553104;5239
303.1091054;5539.770301;44;216.5376236;5455.455933;20.81046005;104.4553104;5239
303.0694395;5539.770301;44;216.6012337;5455.455933;20.81351646;104.4553104;5239
303.0393259;5539.770301;44;216.6106982;5455.455933;20.81397118;104.4553104;5239
302.9893077;5539.770301;44;216.4240004;5455.455933;20.80499942;104.4553104;5239
302.9478904;5539.770301;44;216.4549353;5455.455933;20.80648626;104.4553104;5239
302.9046254;5539.770301;44;216.2273331;5455.455933;20.79554438;104.4553104;5239
302.8898085;5539.770301;44;216.2586812;5455.455933;20.79705177;104.4553104;5239
302.860101;5539.770301;44;216.3285812;5455.455933;20.80041255;104.4553104;5239
302.8213629;5539.770301;44;216.4100295;5455.455933;20.80432789;104.4553104;5239
302.8065635;5539.770301;44;216.3940699;5455.455933;20.80356075;104.4553104;5239
302.7334321;5854.363004;86;216.277719;5904.05693;20.79796716;108.6651456;5239
317.1314157;5452.578505;45;224.9942434;5362.633443;21.21293207;103.5628644;5239
