of_list;of_round_list;rr_round_list;of_val_list;of_round_val_list;RMSE_val_list;RMSE_round_val_list;MAPE_val_list;MAPE_round_val_list;Var10
365.418123088937;2752.37612853864;1;257.836316872335;2762.61753902663;22.7084264920463;74.3319250258814;Inf;Inf;10479
363.405810389118;78155.2151688994;4;257.963291930725;77378.9584624371;22.7140173430736;393.392827749661;Inf;Inf;10479
361.517720682669;84276.4957626253;7;257.995785383558;83825.6012510564;22.7154478443;409.452320181621;Inf;Inf;10479
359.869595725351;72379.4333663899;8;257.214340004493;71688.0151321952;22.6810202594369;378.650274348759;Inf;Inf;10479
358.605877829194;63096.7729936533;10;257.258731992595;62674.3456123865;22.6829774056492;354.046171035323;Inf;Inf;10479
341.287925579534;63096.7729936533;10;256.882628261721;62674.3456123865;22.666390460844;354.046171035323;Inf;Inf;10479
340.296114641645;51622.5350822865;12;256.505352812031;51134.9752485373;22.6497396370038;319.796733093186;Inf;Inf;10479
337.373198194992;51622.5350822865;12;250.883135602794;51134.9752485373;22.4001399818302;319.796733093186;Inf;Inf;10479
336.404503178064;51622.5350822865;12;250.718315720002;51134.9752485373;22.3927807884596;319.796733093186;Inf;Inf;10479
334.997196446818;42406.7630160401;14;249.878836441088;42282.7237394097;22.3552605192196;290.801388371547;Inf;Inf;10479
333.102743302594;42406.7630160401;14;249.285729343785;42282.7237394097;22.3287137714551;290.801388371547;Inf;Inf;10479
332.542637404489;42669.0583452221;15;249.187609648727;42438.6172047124;22.3243190108333;291.3369774152;Inf;Inf;10479
331.984545075746;51048.7742888302;18;248.728024292321;50649.2682975548;22.3037227516987;318.274310297123;Inf;Inf;10479
329.642387358327;50538.4202908721;18;246.986111665908;50135.6760280644;22.2254858964167;316.656520627839;Inf;Inf;10479
329.277538917624;50538.4202908721;18;247.055286656484;50135.6760280644;22.2285980959882;316.656520627839;Inf;Inf;10479
329.178131623411;50271.8356106982;19;246.932323267995;49907.2442536201;22.2230656421653;315.934310430571;Inf;Inf;10479
328.528553545654;49659.7293559027;20;246.513118417213;49271.2549965634;22.2041941271109;313.914813274441;Inf;Inf;10479
324.094818115171;52105.6366263502;21;246.238672607892;51679.0453414498;22.1918305963204;321.493531323571;Inf;Inf;10479
323.089960631339;52105.6366263502;21;245.70186972095;51679.0453414498;22.1676281871088;321.493531323571;Inf;Inf;10479
322.852664065591;52105.6366263502;21;245.566282033234;51679.0453414498;22.1615108705717;321.493531323571;Inf;Inf;10479
322.1562134718;52053.717070289;22;244.495976205852;51625.8775950417;22.1131624244861;321.328111422084;Inf;Inf;10479
320.057306325948;52053.717070289;22;243.34466426566;51625.8775950417;22.0610364337517;321.328111422084;Inf;Inf;10479
319.665619467785;44080.0222188452;24;243.30538346872;43600.8320305178;22.0592558110522;295.299278802092;Inf;Inf;10479
318.770843173778;44080.0222188452;24;240.695189280957;43600.8320305178;21.9406102595601;295.299278802092;Inf;Inf;10479
318.245331607693;44080.0222188452;24;240.628190763524;43600.8320305178;21.9375564164983;295.299278802092;Inf;Inf;10479
317.956265373011;44080.0222188452;24;239.694124930455;43600.8320305178;21.8949366260994;295.299278802092;Inf;Inf;10479
317.278375408549;44080.0222188452;24;239.334226723908;43600.8320305178;21.8784929427924;295.299278802092;Inf;Inf;10479
317.187367252066;44080.0222188452;24;239.376322034729;43600.8320305178;21.8804169080358;295.299278802092;Inf;Inf;10479
317.035839769446;45009.2342920726;25;239.36145753666;44563.218091186;21.8797375458052;298.540510119434;Inf;Inf;10479
315.277127302672;329.230104192062;51348;239.492708382258;236.119935891342;21.885735463185;21.7310807780626;Inf;Inf;10479
332.678190737057;353.830341699715;52397;242.069761860352;248.441184447209;22.003170765158;22.2908584153778;Inf;Inf;10479
353.830341699715;353.830341699715;52397;248.441184447209;248.441184447209;22.2908584153778;22.2908584153778;Inf;Inf;10479
353.830341699715;353.830341699715;52397;248.441184447209;248.441184447209;22.2908584153778;22.2908584153778;Inf;Inf;10479
353.830341699715;353.830341699715;52397;248.441184447209;248.441184447209;22.2908584153778;22.2908584153778;Inf;Inf;10479
353.830341699715;NaN;0;248.441184447209;NaN;22.2908584153778;NaN;Inf;NaN;10479
364.239691943822;49753.1114223378;3;257.595493364451;49754.7251085345;22.6978189861692;315.451185157179;Inf;Inf;10479
360.135168073997;53793.6372693521;4;254.471388637;54845.4893040214;22.5597601333436;331.196284109654;Inf;Inf;10479
