of_list;of_pen_list;rr_round_list;of_val_list;RMSE_val_list;Var7
365.4181231;365.4181239;0;257.8363169;22.70842649;10479
364.5885344;364.5885352;1;257.5304844;22.6949547;10479
361.3322576;361.3322584;2;256.7065733;22.6586219;10479
360.0914804;360.0914812;3;256.5922831;22.65357734;10479
354.5983723;354.5983731;5;257.8701738;22.70991738;10479
352.9892333;352.9892341;7;256.1208896;22.63275898;10479
343.8659965;343.8659973;7;254.0919783;22.54293585;10479
343.2871065;343.2871073;11;253.8311649;22.53136325;10479
340.5183568;340.5183577;12;251.8316244;22.44244302;10479
338.7713087;338.7713096;15;251.8200072;22.44192537;10479
337.7170658;337.7170667;15;251.5482988;22.42981492;10479
336.6515466;336.6515475;17;250.8271299;22.39763961;10479
335.3788007;335.3788016;18;250.1317135;22.36656941;10479
333.2181018;333.2181027;18;244.9906184;22.1355198;10479
332.4657067;332.4657075;19;244.6343741;22.11942016;10479
331.8003594;331.8003603;21;244.1654135;22.09820868;10479
330.1771067;330.1771076;21;243.0553076;22.04791634;10479
329.4085917;329.4085926;22;242.9382666;22.04260722;10479
320.2039164;320.2039173;22;243.0574514;22.04801358;10479
318.9937127;318.9937136;22;242.5209211;22.0236655;10479
318.5888456;318.5888465;22;242.5174818;22.02350934;10479
318.5121514;318.5121523;22;242.4848534;22.02202776;10479
318.0481661;318.0481669;23;242.4266653;22.01938534;10479
316.3755732;316.375574;24;242.2120376;22.00963596;10479
315.7752378;315.7752387;25;241.0997201;21.95904006;10479
314.4325985;314.4325993;52397;240.4760074;21.93061821;10479
342.2248962;342.2248971;0;244.7461238;22.12447169;10479
325.3455716;325.3455724;1;246.6007751;22.20814153;10479
324.4655437;324.4655445;1;244.7638274;22.12527186;10479
324.1876552;324.1876561;1;244.7646874;22.12531073;10479
323.7604228;323.7604237;3;245.003019;22.13608;10479
323.189249;323.1892499;4;244.9560282;22.13395709;10479
322.6830638;322.6830646;5;244.8987504;22.13136916;10479
322.4756468;322.4756476;5;244.6760716;22.12130519;10479
322.0420951;322.042096;7;244.4671079;22.11185691;10479
321.7726356;321.7726364;8;243.9459431;22.08827486;10479
321.5589509;321.5589517;9;243.8518486;22.08401452;10479
319.9654926;319.9654935;11;241.9346418;21.99702897;10479
318.5422936;318.5422945;13;239.5179953;21.88689084;10479
318.1335172;318.133518;13;239.1157617;21.86850529;10479
317.9191811;317.9191819;13;238.8044452;21.85426481;10479
317.5598993;317.5599001;13;238.6161851;21.84564877;10479
317.1351415;317.1351423;15;238.1275824;21.82327118;10479
313.9206381;313.9206389;16;237.5652679;21.79748921;10479
312.3341008;312.334102;166;235.0797642;21.68316232;10479
